         234878 function calls (229087 primitive calls) in 0.521 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 nanops.py:68(__call__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       82    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        3    0.000    0.000    0.002    0.001 generic.py:8745(_add_numeric_operations)
      106    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      198    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
        1    0.000    0.000    0.092    0.092 add_newdocs.py:10(<module>)
       80    0.000    0.000    0.000    0.000 typing.py:1025(_abc_negative_cache)
      689    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      120    0.000    0.000    0.000    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.001    0.001 testing.py:1(<module>)
        6    0.000    0.000    0.041    0.007 api.py:3(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:602(_convert)
        2    0.000    0.000    0.039    0.020 base.py:1(<module>)
       11    0.000    0.000    0.000    0.000 ops.py:857(<dictcomp>)
      238    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        9    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
        1    0.000    0.000    0.001    0.001 function.py:19(<module>)
       53    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        9    0.000    0.000    0.000    0.000 accessor.py:56(_add_delegate_accessors)
      636    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      647    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.020    0.020 series.py:3(<module>)
       21    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
      351    0.000    0.000    0.000    0.000 __init__.py:217(bind_method)
      144    0.000    0.000    0.000    0.000 __init__.py:293(set_function_name)
        1    0.000    0.000    0.000    0.000 offsets.py:2214(Tick)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.009    0.009 algorithms.py:4(<module>)
       75    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.145    0.145 groupby.py:1(<module>)
      128    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
      400    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
        1    0.000    0.000    0.079    0.079 frame.py:10(<module>)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.005    0.005 config_init.py:11(<module>)
      103    0.000    0.000    0.000    0.000 ops.py:182(_gen_eval_kwargs)
      309    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
        1    0.000    0.000    0.003    0.003 _core.py:3(<module>)
      150    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
